번호                                                                                                                                       (01.6월 기준),주소
227,서울특별시 중구 퇴계로 명동역 4번 출귀 뒤(버스정류장 0-149)
228,서울특별시 중구 퇴계로 명동역 5번 출구쪽(밀리오레) 버스정류장 0-150
229,서울특별시 중구 퇴계로 명동역 5번 출구쪽(밀리오레) 버스정류장 0-150
230,서울특별시 중구 퇴계로 한옥마을 버스정류장 명동방면 (0-151)
231,서울특별시 중구 퇴계로 한옥마을 버스정류장 명동방면 (0-151)
232,서울특별시 중구 퇴계로 충무파출소 앞 
233,서울특별시 중구 퇴계로 충무파출소 앞 
234,서울특별시 중구 퇴계로 명동역 6번출구 앞
235,서울특별시 중구 퇴계로 명동역 6번출구 앞
236,서울특별시 중구 퇴계로 명동역 6번출구 앞
237,서울특별시 중구 퇴계로 명동역 6번출구 앞
238,서울특별시 중구 퇴계로 명동역 6번출구 앞
239,서울특별시 중구 퇴계로 명동역 6번출구 앞
240,서울특별시 중구 삼일대로 평화방송앞 버스환승센터 0-00
241,서울특별시 중구 삼일대로 평화방송앞 버스환승센터 0-00
242,서울특별시 중구 삼일대로 평화방송앞 버스환승센터 0-00
243,서울특별시 중구 삼일대로 남대문세무서 앞 환승센터 0-001
244,서울특별시 중구 삼일대로 남대문세무서 앞 환승센터 0-001
245,서울특별시 중구 을지로 명동 하나은행본점 앞 
246,서울특별시 중구 을지로 명동 하나은행본점 앞 
247,서울특별시 중구 남대문로 명동입구 관광경찰초소
248,서울특별시 중구 남대문로 명동입구 관광경찰초소
249,서울특별시 중구 명동길 명동 신한은행 앞
250,서울특별시 중구 명동길 명동 신한은행 앞
251,서울특별시 중구 명동길 명동 신한은행 앞
252,서울특별시 중구 명동길 명동 신한은행 앞
253,서울특별시 중구 명동길 명동 신한은행 앞
254,서울특별시 중구 명동길 명동 신한은행 앞
255,서울특별시 중구 명동길 명동 신한은행 앞
256,서울특별시 중구 명동길 명동 신한은행 앞
257,서울특별시 중구 명동길 명동 우리은행 앞
258,서울특별시 중구 명동길 명동 우리은행 앞
259,서울특별시 중구 명동길 명동 우리은행 앞
260,서울특별시 중구 명동길 명동 우리은행 앞
261,서울특별시 중구 남대문로 명동 국민은행앞 버스정류장(0-53)
262,서울특별시 중구 남대문로 명동 국민은행앞 버스정류장(0-53)
263,서울특별시 중구 퇴계로 명동역 국민은행 앞(공항버스정류장 퇴계로 131)
264,서울특별시 중구 퇴계로 명동역 국민은행 앞(공항버스정류장 퇴계로 131)
265,서울특별시 중구 남대문로 한국은행.신세계앞 버스정류장(0-78)
266,서울특별시 중구 남대문로 한국은행.신세계앞 버스정류장(0-78)
267,서울특별시 중구 삼일대로 명동 성당 앞
268,서울특별시 중구 삼일대로 명동 성당 앞
269,서울특별시 중구 명동길 명동 자라 골목
270,서울특별시 중구 명동길 명동 자라 골목
271,서울특별시 중구 명동9길 명동 원당감자탕 앞(명동9길 13)
272,서울특별시 중구 명동9길 명동 원당감자탕 앞(명동9길 13)
273,서울특별시 중구 삼일대로 명동지하쇼핑센터 15번 출구
274,서울특별시 중구 삼일대로 명동지하쇼핑센터 15번 출구
275,서울특별시 중구 삼일대로 명동지하쇼핑센터 15번 출구
276,서울특별시 중구 삼일대로 명동지하쇼핑센터 15번 출구
277,서울특별시 중구 삼일대로 롯데영프라자(한진빌딩)앞 버스정류장(0-14)
278,서울특별시 중구 삼일대로 롯데영프라자(한진빌딩)앞 버스정류장(0-14)
279,서울특별시 중구 삼일대로 해운센터.롯데영프라자 버스정류장(0-141)
280,서울특별시 중구 삼일대로 해운센터.롯데영프라자 버스정류장(0-141)
281,"서울특별시 중구 을지로 을지로입구, 로얄호텔 버스정류장 0-156"
282,"서울특별시 중구 을지로 을지로입구, 로얄호텔 버스정류장 0-156"
